date,time,Location,Lat,Long,operator,flight_no,route,ac_type,registration,cn_ln,all_aboard,passengers_aboard,crew_aboard,all_fatalities,passenger_fatalities,crew_fatalities,ground,summary
"July 16, 1932",?,"Mount Waverley, Victoria",-37.877,145.131,Holymans Airways,?,Training,De Havilland DH-60 Moth,VH-UII,895,2,0,2,2,0,2,0,The aircraft hit telephone wires and a chimney before crashing in flames into a house.
"June 28, 2017",1345,"Mount Dandenong, Victoria",-37.8362,145.3511,Australian National Airways,?,Adelaide - Melbourne,Douglas DC-2-112,VH-UYC,1566,18,14,4,18,14,4,0,Crashed into Mt. Daodenong in heavy fog while en route. Procedural errors by the pilot.
"August 27, 1981",1015,Mount Gambier,-37.8294,140.7828,Angel Flight,?,Suttontown - Adelaide,Socata TB1-10 Tobago,VH-YTM,1518,3,2,1,3,2,1,0,The medical flight crashed 3 km south of Mount Gambier Airport in heavy fog. The plane had just taken off and was bound for Adelaide with a patient and her daughter. Angel Flight is used to help people in rural areas access medical treatment.
"July 13, 1947",900,Melbourne,-37.8142,144.9631,Australian Corporate Jet Centres PTY. LTD,?,Melbournen - King Island,Beechcraft B200 Super King Air,VH-ZCR,BB1544,5,4,1,5,4,1,0,"The charter flight was just seconds into it's flight when it was observed flying low, before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. The aircraft's rudder trim was likely in the full nose-left position at the commencement of the take-off.
 The aircraft's full nose-left rudder trim setting was not detected by the pilot prior to take-off. Following a longer than expected ground roll, the pilot took-off with full left rudder trim selected. This configuration adversely affected the aircraft's climb performance and controllability, resulting in a collision with terrain."
"October 29, 1929",740,"Mount Macedon, Victoria",-37.4,144.5833,Australian National Airways,?,Melbourne - Denilquin,Douglas DC-3,VH-UZK,2003,23,19,4,3,0,3,0,Crashed into Mt. Macedon hidden in fog. The pilot deviated off course from his flight plan and failed to follow VFR flight rules.
"June 17, 1948",?,"Mount Buller, Victoria",-37.1333,146.4167,Pacific Overseas Airways,?,Hong Kong - Bangkok,Douglas DC-4,HS-POS,10396,24,20,4,24,20,4,0,"Crashed into hills shortly after takeoff. Crew error. The pilot taking off under VFR, lost visual contact with the ground and attempted to return to IFR procedure too late to avoid the hills. The aircraft was named ""City of Ayudhya."""
"January 31, 1945",825,"Redesdale, Victoria",-37.0167,144.517,Australian National Airways,?,Melbourne - Kerang - Mildura - Broken Hill,Stinson Model A,VH-UYY,9130,10,8,2,10,8,2,0,Crashed while en route from Melbourne to Broken Hill. Believed caused by metal fatigue in the outer port wing which broke off during severe turbulence.
"October 22, 1986",?,M?ngere,-36.975,174.797,United Airways of New Zealand,?,Auckland - Palmerston North,Lockheed 10 Electra,ZK-AFC,1092,2,,,2,,,0,"After experiencing engine failure while taking off, the plane crashed into trees and exploded in flames."
"September 02, 1959",1559,Auckland,-36.85,174.7833,Air New Zealand,?,Training,Douglas DC-8-52,ZK-NZB,45751/231,5,0,5,2,0,2,0,"The incurrence of reverse thrust during simulated failure of no. 4 engine on takeoff. That condition arose when very rapid rearward movement of the power level generated an inertia force which caused the associated thrust brake lever to rise and enter the reverse idle detent. After lift-off, the minimum control speed essentially required to overcome the prevailing state of thrust imbalance was never attained and an uncontrollable roll, accompanied by some degree of yaw and sideslip in the same direction, ensued. When the condition of reverse thrust was recognized and eliminated, insufficient time and height were available to allow the aircraft to recover from its precarious attitude before it struck the ground."
"February 13, 1955",2200,Auckland,-36.85,174.7833,Air Freight New Zealand,1,Auckland - Christchurch,Convair CV-580,ZK-FTB,180,3,0,3,3,0,3,0,The cargo lost altitude shortly after lifting off and crashed and broke up in  Manukau Harbor. The training captain's failure to monitor the aircraft's climb flight path during the critical stage of the climb after take-off.
"October 21, 1977",52,Orewa,-36.5816,174.69,Quebecair,?,Knob Lake - Oreway,Douglas DC-3,CF-GVZ,15552/26997,18,15,3,4,1,3,0,Loss of the No. 2 engine necessitated a forced crash landing near a railway station.  Failure to maintain height at night due to the loss of the starboard engine in icing conditions.  The aircraft was also overloaded.
"December 08, 1957",1645,San Carlos de Bolívar,-36.25,-61.1,Aerolineas Argentinas,?,Buenos Aires - San Carlos,Douglas DC-4,LV-AHZ,27227,61,55,6,61,55,6,0,The plane crashed during a storm. Left wing detached in extreme turbulence. The pilot descending on a track well below the minimum safety flight altitude established for this type of operation. The absence in the flight plan of a forecast showing the intensity of the meteorological phenomena encountered. Inadequate operational dispatch of the aircraft.
"September 13, 1994",1915,"Chanco, Chile",-35.7333,-72.5333,Flight Service,?,?,Bell UH-1H,CC-CBW,?,13,12,1,13,12,1,0,The helicopter was carrying firemen to a nearby forest fire when it crashed into a fog shrouded mountain killing all aboard.
"June 08, 1974",1730,San Miguel del Monte,-35.4417,-58.8083,Aerolineas TAO,514,Bucaramanga - Cucuta,Vickers Viscount 785D,HK-1058,380,44,38,6,44,38,6,0,The aircraft lost control and crashed after a tailplane failure. Failure in-flight of the tailplane spar causing the left tailplane and elevator the detach.
"January 05, 2000",445,Cape Spencer,-35.3,136.8833,Pacific Alaska Air Freight,?,Anchorage - Homer - Yakutat - Annette Island - Seattle,Douglas DC-3,N66637,11800,17,15,2,17,15,2,0,Lost contact with the aircraft after the crew reported passing Cape Spencer. The wreckage was never found.  Cause undetermined.
"June 05, 2000",?,Adelaide Hills Council,-34.95,138.8833,Qantas,?,Adelaide - Longreach,de Havilland DH.50J,G-AUHI,5,2,0,2,1,0,1,0,"Following the conclusion of an aerial tour carrying Sir John Salmond, the aircraft departed Adelaide piloted by C. W. A. Scott with an engineer as passenger. Control was lost in the cloud during an attempt to cross the Adelaide Hills; the aircraft encounted bad weather, crashed and caught fire."
"February 19, 1982",?,Villa del Cerro,-34.8844,-56.2514,LAC Columbia,?,?,Douglas DC-6BF,HK-1706,44168/431,4,0,4,4,0,4,0,The cargo plane crashed into high ground while on apporach to land.
"January 23, 1985",1035,Villa del Cerro,-34.8844,-56.2514,Aerolineas Centrales de Colombia,?,Medellin - Quibdo,de Havilland Canada DHC-6 Twin Otter 300,HK-1910,497,23,21,2,23,21,2,0,"Crashed into a mountain at 11,500 ft.  In rainand fog.  Flying under VFR when conditions changed to IFR."
"May 09, 1995",1635,Villa del Cerro,-34.8844,-56.2514,ADES Colombia,?,Mitu - Villavicencio,Curtiss C-46F,HK-3079G,22538,9,5,4,9,5,4,0,Crashed into a mountain during approach in poor weather.
"November 18, 1988",2120,Montevideo,-34.8667,-56.1667,REAL,?,San Pablo - Porto Alegre - Montevideo,Convair CV-440-62,PP-AQE,456,35,30,5,1,0,1,0,"Flying VFR, the aircraft encountered fog during the approach, undershot the runway and crashed. Pilot error."
"January 16, 1928",?,Solís,-34.7919,-55.3835,Aeropostale,F-AIKG,Buenos Aires - Montevideo,Latecoere 25,F-AIKG,633,2,0,2,2,0,2,0,The wing on the mail plane detached from the aircraft and crashed into the sea.
"June 09, 1999",?,"Morón, Buenos Aires",-34.65,-58.6167,Flota Aérea Mercante Argentina,?,Test flight,Avro 685 York I,LV-XIH,1366,6,0,6,2,0,2,2,Struck a truck while attempting to land.
"June 02, 2012",?,"El Palomar, Buenos Aires",-34.6263,-58.593,Fuerza Aérea Argentina,?,?,Vickers 620 Viking 1,T-1,113,18,15,3,5,2,3,0,"Following engine failure, the captain lost control and crashed while trying to land."
"July 14, 1931",?,"Temora, New South Wales",-34.4483,147.5344,Australian Aerial Services,?,?,Lasco Lascowl,VH-UGF,3,2,0,2,2,0,2,0,?
"August 09, 1995",2014,San Vicente de Tagua Tagua,-34.4386,-71.0775,Aviateca,901,Guatemala City - San Salvador,Boeing B-737-2H6,N125GU,23849/1453,65,58,7,65,58,7,0,"Crashed into Mt. Chichontepec volcano at 5,900 ft. at night during heavy rain and thunderstorms. Possible damage to the aircraft's DME due to lightning. Confusion between the pilot and ATC due to bad weather and a diversion. The Ground Proximity Warning System had sounded and power was applied but too late."
"December 11, 1960",1950,San Andrés de Giles,-34.4333,-59.4333,Military - Argentine Air Force,?,Lima - Antofagasta - El Palomar,Avro 691 Lancastrian IV,T-102,?,31,23,8,31,23,8,0,"The domestic flight cashed and burned in heavy rain, 100 miles from it's destination. Pilot error. Flying VFR in adverse weather conditions."
"March 15, 1962",2327,"Bundeena, New South Wales",-34.0881,151.1541,Avtex Air Services,?,Sydney - Brisbane,Swearingen SA227AC Metroliner III,VH-OZA,AC-600,1,0,1,1,0,1,0,The pilot of the mail plane reported some minor problems before the aircraft disapppeared off radar.
"January 09, 1964",950,"Zárate, Buenos Aires",-34.0833,-59.0333,Aerolineas Litoral Argentina,?,Rosario - Buenos Aires,Douglas DC-3,LV-FYJ,14713/26158,30,27,3,28,25,3,0,"The pilot reported a localized fire in the cabin. Soon after, he attempted to land at an airfield close to Zarate.  The aircraft struck the ground with its landing gear, left engine and wing which resulted in a break-up of the plane and subsequent fire. Crew was possibly overcome by fumes from the fire."
"February 08, 2011",1640,Plettenberg Bay,-34.05,23.3667,Majuba Aviation,?,Queenstown - Plettenberg Bay,Pilatus PC-12/47,ZS-GAA,858,9,7,2,9,7,2,0,"When the crew encountered dense fog, limiting visibility, the pilot aborted the landing and was in the process of a go-around when the plane crashed into the sea."
"October 02, 1964",?,City of Cape Town,-34,18.5,Air Union,?,Paris - Croydon,Farman F-60 Goliath,F-AEFC,62/6943,2,0,2,2,0,2,0,Crashed into the sea while delivering mail in poor weather.
"April 18, 1972",645,"George, South Africa",-33.9667,22.45,Airquarius Aviation - Charter,?,Bloemfontein - George,Hawker Siddeley HS-748-372,ZS-OJU,1782,3,1,2,3,1,2,0,"The private postal service plane crashed into the Outeniqua mountains, near Outeniqua Pass, after a missed approach to George Airport. The aircraft crashed as it circled for another landing attempting poor weather conditions. Former South African cricket captain, Hansie Cronje, 32, the only passenger aboard, was killed along with the crew. Pilot error. The pilot broke with procedure when trying to land the small cargo plane and failed to heed warnings that the aircraft was too near the ground."
"November 29, 1963",1833,Stellenbosch,-33.9367,18.8614,Trans Canada Air Lines,831,Montreal - Toronto,McDonnell Douglas DC-8F-54F,CF-TJN,45654/179,118,111,7,118,111,7,0,The aircraft crashed about 5 minutes after leaving Dorval Airport in Montreal. Icing of the pitot system or failure of the vertical gyro or an unprogrammed and unnoticed extension of the Pitch Trim Compensator.
"January 14, 1982",?,Cape Town,-33.9253,18.4239,Siamese Airways,?,Bangkok - Hong Kong,Douglas DC-3,HS-SAE,?,16,11,5,16,11,5,0,The pilot lost control of the aircraft while attempting too steep a turn and too  low a speed while making an approach at night in dense fog and rain and struck the ground.
"October 11, 1944",?,Sydney,-33.8678,151.21,Qantas,?,?,Short S-23 (flying boat),VH-ABB,S-877,30,,,1,,,0,"On final approach with one engine shut-down, stalled 10 ft above the water and hull ruptured on impact."
"October 11, 1944",730,Sydney,-33.8678,151.21,Qantas,?,Sydney - Townsville,Short S.23 Empire Flying Boat,VH-ABB,S-877,29,22,7,1,1,0,0,While landing on the water the plane broke up and sank. One passenger drowned.
"November 30, 1961",1925,Sydney,-33.8678,151.21,Ansett ANA,?,Sydney - Canberra,Vickers Viscount 720,VH-TVC,46,15,11,4,15,11,4,0,"Crashed 9 minutes after taking off, into Botany Bay, 3 miles south of the airport . In-flight structural failure due to turbulence."
"February 21, 1980",1909,Sydney,-33.8678,151.21,Advance Airlines,?,Sydney - Tomora,Beechcraft Super King Air 200,VH-AAV,BB-0245,13,12,1,13,12,1,0,Crashed into a sea wall just 2 feet short of the runway while attemping an emergency landing.
"May 25, 1971",426,Santiago,-33.45,-70.6667,Aerolineas Flecha Austral - ALFA,?,Santiago - Arica,Curtiss C-46,CC-CAZ,50,4,2,2,4,2,2,0,The cargo plane lost an engine while taking off and crashed 2 km from the airport..
"June 13, 1972",?,Santiago,-33.45,-70.6667,Aerolineas Flecha Austral,?,?,Curtiss C-46D,CC-CDU,33369,3,0,3,3,0,3,0,On approach the cargo plane struck El Ovejero mountain.
"October 06, 1978",?,Santiago,-33.45,-70.6667,Military - US Navy,?,Military exercises,Douglas R6D-1 (DC-6),131618,43721/375,18,,,18,,,?,"The military transport crashed into a fog-shrouded hill, 20 miles south of the city."
"September 04, 1928",?,Cerro Blanco,-33.4196,-70.6463,Aero Transportes,?,Mexico City - Minatitlán - Villahermosa,Douglas DC-3,XA-GOR,14007/25452,8,5,3,8,5,3,0,"While en route, the aircraft hit the slope of the Cerro Blanco."
"August 23, 1937",?,"San Luis, Argentina",-33.2994,-66.3392,Pan American Grace Airways,?,Mendosa - Cordoba,Douglas DC-2,NC14298,1370,3,0,3,3,0,3,0,The cargo plane crashed and burned in a field while en route after entering dense fog.
"March 01, 1977",1303,"Canton Beach, New South Wales",-33.275,151.55,Ansett ANA,149,Mount Isa - Longreach,Vickers Viscount 832,VH-RMI,416,24,20,4,24,20,4,0,"About 150 miles from Longreach, fire was reported in No. 1 and 2 engines. While the plane was making an emergency descent, the left wing broke away due to weakening by the fire. After failure of the wing, the plane broke up in mid-air and crashed. Loosened bolts led to the loss of the oil lubricating unit causing the bearings to heat and catching the engines on fire. Subsequently, a locking mechanism was installed on the bolts to prevent any future accidents of this kind."
"July 16, 1956",715,"Río Cuarto, Córdoba",-33.123,-64.3478,Aerolineas Argentinas,?,Buenos Aires - Rio Cuarto,Douglas DC-3,LV-ACD,13328,18,14,4,18,14,4,0,"Crashed while making an approach to Rio Cuarto. The decision of the pilot to descend en route, without justifiable reason, below the minimum altitude prescribed for a night flight and in weather conditions which made it his duty to follow IFR procedure."
"May 31, 2000",1905,Whyalla,-33.0333,137.0667,Whyalla Airlines,904,Adelaide - Whyalla,Piper PA-31-350 Navajo,VH-MZK,31-8152180,8,1,7,8,1,7,0,"En route and descending at Whyalla,  at 6,000 ft., the pilot transmitted a MAYDAY, reporting that both engines of the aircraft had failed, that there were eight persons on board and that he was going to have to ditch the aircraft, but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine, leading to the No. 6 piston being holed in the right engine."
"May 09, 1982",1710,"East London, South Africa",-33.0175,27.9047,South African Airways,406,Port Elizabeth - East London,Vickers Viscount 818,ZS-CVA,317,25,20,5,25,20,5,0,Crashed into the sea. Most probably the captain suffered a heart attack and the first officer could not regain control of aircraft.
"June 04, 1969",2223,Nuevo Berlín,-32.9792,-58.0528,Austral Lineas Aeras (Argentina),2553,Posadas - Buenos Aires,McDonnell Douglas DC-9-32,LV-WEG,47446/561,74,69,5,74,69,5,0,"The aircraft crashed  near Nuevo Berlin, a town on the banks of the Uruguay River, after changing its route to avoid heavy rain and hail. A crater 25 feet deep crater was created where the plane crashed into the earth.  Icing of the pitot tubes. The pitot tubes froze after the aircraft passed through 49,000 ft. giving false speed readings leading to loss of control of the aircraft."
"September 19, 1979",1221,"Mendoza, Argentina",-32.8833,-68.8333,Fuerza Aérea Argentina,?,Mendoza - Parana,Fokker F-27 Friendship 400M,TC-76,10412,5,0,5,5,0,5,0,Shortly after taking off the plane veered to the right and crashed into a field. Engine failure.
"March 06, 2018",1705,"Las Vertientes, San Luis",-32.7971,-65.7563,STAP,?,Villamontes - Santa Cruz,Swearingen SA-226T Metro II,CP-1635,TC-359,19,17,2,10,9,1,0,"During take off, shortly after the landing gear was retracted, one of the aircraft's engines lost power and the propeller autofeathered. The aircraft rolled to the right, struck trees and crashed inverted."
"August 15, 1985",1145,Elands Bay,-32.3,18.3333,South African Airways,?,Luanda - Windhoek - Cape Town,Lockheed 18 Lodestar,ZS-AST,2034,10,6,4,10,6,4,0,Crashed into a mountain near Elands Bay in inclement weather.
"October 04, 1989",?,Perth,-31.9559,115.8606,Wings Ltd,?,?,de Havilland DH.80 Puss Moth,VH-UPC,2021,3,2,1,3,2,1,?,"Fflying over the Darling Range, aircraft went out of control and dove into a hilly terrain,"
"June 26, 1950",2300,"York, Western Australia",-31.8789,116.7658,Ansett ANA,?,Perth  Adelaide  Melbourne e,Douglas DC-4-1009,VH-ANA,42910,29,24,5,29,24,5,0,"The airliner experienced trouble with all four engines. The crew attempted to return to Guildford but  in the dark, while in a 15 degree turn to port, the aircraft barely cleared a ridge line, struck a tree 30 feet off the ground and ploughed into a downward slope shredding itself and contents into small pieces. The aircraft was named ""Amana."" Total loss of engine power."
"November 08, 1948",1545,"Mount Helena, Western Australia",-31.875,116.208,Aeropesca Colombia,?,Florence - Neiva,Vickers Viscount 745D,HK-1320,112,50,44,6,50,44,6,0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.
"March 03, 1942",?,"Wingham, New South Wales",-31.85,152.367,KNILM,?,Java - Australia,Douglas DC-3,PK-AFV,1965,12,8,4,8,,,0,Shot down by Japanese military aircraft.
"September 15, 1920",1420,Pelotas,-31.7719,-52.3428,Cruzeiro,?,Jaguarão - Rio Grande - Pelotas - Porto Alegre,Douglas DC-3,PP-CDS,4823,22,19,3,10,8,2,0,"While taking off, the plane drifted to the right, overcorrected to the left and struck two other aircraft. Pilot error.  Incorrect use of the brakes and controls while on the ground."
"September 09, 1976",2141,"Córdoba, Argentina",-31.4167,-64.1833,Alas del Sur,?,Tucumán - Córdoba,Rockwell Sabreliner 60,LV-WPO,306-3,3,1,2,3,1,2,0,The cargo plane crashed short of the runway.
"June 20, 1977",?,"Salto, Uruguay",-31.3883,-57.9606,Fuerza Aérea Uruguaya,?,Carrasco - Salto-Nueva Hesperides,Embraer 110C Bandeirante,CX-BJE,110083,15,13,2,12,10,2,0,Crashed into trees while making an ILS approach.
"May 03, 2006",?,Bagé,-31.3308,-54.1069,Varig,?,Bage - Porto Alegra,Curtiss C-46A-45-CU,PP-VCF,30283,40,35,5,40,35,5,0,"Shortly after  takeoff, a fire developed in the left main landing gear well. The pilot thought the fire had started in the engine, feathered the No.1 engine and returned for an emergency landing. When he couldn't get the gear down, he performed a go-around after which the left wing separated from the plane. The plane crashed and burned. Fracture of the fuel line in the landing gear housing due to wear against the ribs."
"March 08, 1938",?,"Somerton, New South Wales",-30.9317,150.6344,Australian National Airways,?,Training,De Havilland DH-60,VH-UNU,?,1,0,1,1,0,1,0,"The pilot made a sharp turn, lost control of the aircraft and chrashed."
"January 06, 1957",?,Ovalle,-30.6031,-71.203,Lan Chile,?,?,Fairchild FC-2,19,?,5,4,1,5,4,1,0,Went out of control while taking off and crashed in a rivine.
"November 06, 1944",1450,Ixopo,-30.1572,30.0647,United Airways,?,Margate - Ladysmith - Johannesburg,de Havilland Dove 1,ZS-DDW,4017,12,10,2,12,10,2,0,Broke up in turbulence.
"June 20, 1944",?,Porto Alegre,-30.0328,-51.23,Varig,?,?,Lockheed 10C Electra,PP-VAG,1008,10,8,2,10,8,2,0,While on approach the aircraft crashed into the river Guiaba
"July 28, 1950",1925,Porto Alegre,-30.0328,-51.23,Panair do Brasil,?,Rio de Janeiro - Porte Algegre,Lockheed 049 Constellation,PP-PCG,2962,50,43,7,50,43,7,0,The aircraft flew into power lines during a landing attempt after running out of fuel while in a holding pattern.
"October 18, 1957",?,Porto Alegre,-30.0328,-51.23,Varig,?,Porto Alegre - Sao Paulo,Douglas C-47A,PP-VCS,19757,2,0,2,2,0,2,0,"During the takeoff roll, the airplane started to skid and deviated from the centerline to the right. Incorrect use of flying controls during the takeoff roll.  Possible failure of left engine. Turbulent conditions close to ground."
"November 29, 1995",1327,"La Serena, Chile",-29.9027,-71.252,Aeronor Chile,304,Santiago - La Serena,Fairchild F-27J,CC-CJE,63,46,42,4,46,42,4,0,"While on approach, the aircraft suddenly banked to the left and went into a steep descent and crashed.  Inadequate flight procedures by the pilot in command after experiencing a loss of power in the left engine.  Inadequate flight planning by the pilot-in-command in coordinating the adoption of measures and applying procedures to successfully remedy a stall condition caused by total loss of power in the left engine when the aircraft was flying at low altitude on final approach to land."
"January 15, 2009",?,Durban,-29.8583,31.025,Executive Funds,?,?,Douglas DC-3,ZS-DAK,1498,25,22,3,1,1,0,0,"The No.1 engine failed while the DC-3  turned onto final approach.  Shortly thereafter,  the No.2 engine also failed. The aircraft was turned towards a beach and was ditched successfully. One  non-swimming passenger  drowned."
"April 29, 2013",1300,Alegrete,-29.7839,-55.7911,"SAVG (S.A. Viacao Gaucha, )
SAVG",?,Porto Alegre - Sao Borja,Lockheed 18 LodeStar,P-SAA,18-2133,12,10,2,12,10,2,0,The aircraft hit the slope of the Cerro Cortelini located near São Francisco de Assis while en route.
"March 09, 2015",?,"Villa Castelli, Argentina",-29.018,-68.227,Private,?,Filiming,Both Eurocopter AS350B3,LQ-CGK - LQ-FJQ,?,10,8,2,10,8,2,0,"Three French sports figures, Florence Arthaud, Camille Muffat and Alexis Vastine, participating in the French reality show Droped, were killed along with seven other people when the two helicopters filming the show collided. Five killed on each helicopter"
"July 19, 2009",?,Eshowe,-28.8883,31.4483,Union Airways,?,?,Junkers W-34,ZS-AEB,2735,6,4,2,5,3,2,0,Crashed in poor weather conditions while enroute.
"July 11, 1991",c 11:30,Jaquirana,-28.885,-50.3578,Varig,?,Sao Paulo - Porto Alegre,Curtiss C-46D-10-CU,PP-VBI,33100,36,30,6,5,4,1,0,"Twenty minutes before arriving a Porto Alegre, a fire was discovered in cargo hold ""G.""  The pilot executed an emergency descent while the crew tried to extinguish the flames to no avail. As the plane attempted to land, the panicking passengers rushed to the front of the plane to escape the flames causing the center of gravity to change, resulting in a hard landing. The cause of the fire in the hold ""G"" was not determined."
